variant,policy,seed,turns,total,over,capacity,coins,exactCount,levelUps,firstGrowthTurn,earnedPT,wearCount,doubleRewards,cause
current,smart,20260908,11,32122,True,9,11,0,0,,6,11,0,coin_overflow
current,smart,20260909,21,48513,True,8,11,3,0,6,8,18,0,coin_overflow
current,smart,20260910,17,47403,True,7,9,0,1,10,21,16,0,coin_overflow
current,smart,20260911,27,66329,True,4,6,1,2,9,27,24,0,coin_overflow
current,smart,20260912,14,34567,True,9,10,1,0,7,6,13,0,coin_overflow
current,smart,20260913,21,51666,True,9,10,2,1,5,13,18,0,coin_overflow
current,smart,20260914,15,35022,True,9,12,0,1,8,16,14,0,coin_overflow
current,smart,20260915,17,46024,True,7,10,0,1,14,11,16,0,coin_overflow
current,smart,20260916,30,66756,True,8,10,2,3,3,41,25,0,coin_overflow
current,smart,20260917,29,68002,True,11,14,4,2,2,22,23,0,coin_overflow
current,smart,20260918,15,33608,True,9,10,0,1,8,18,14,0,coin_overflow
current,smart,20260919,28,73227,True,7,9,1,3,5,31,24,0,coin_overflow
current,smart,20260920,19,47515,True,8,9,1,1,6,22,17,0,coin_overflow
current,smart,20260921,22,58036,True,10,11,4,0,6,5,18,0,coin_overflow
current,smart,20260922,11,32262,True,9,10,0,0,,8,11,0,coin_overflow
current,smart,20260923,18,49501,True,13,14,1,2,9,21,15,0,coin_overflow
current,smart,20260924,13,33007,True,7,13,0,0,,8,13,0,coin_overflow
current,smart,20260925,13,33519,True,7,9,0,0,,9,13,0,coin_overflow
current,smart,20260926,15,44141,True,9,10,0,1,9,14,14,0,coin_overflow
current,smart,20260927,24,63067,True,9,11,3,1,9,16,20,0,coin_overflow
current,smart,20260928,21,53013,True,10,12,1,2,5,22,18,0,coin_overflow
current,smart,20260929,38,101751,True,9,11,5,3,4,37,30,0,coin_overflow
current,smart,20260930,14,35057,True,10,12,0,1,9,15,13,0,coin_overflow
current,smart,20260931,20,53062,True,9,12,3,0,3,7,17,0,coin_overflow
current,smart,20260932,21,58951,True,6,9,1,1,9,21,19,0,coin_overflow
current,smart,20260933,15,43262,True,9,10,0,1,7,18,14,0,coin_overflow
