policy,seed,turns,total,over,capacity,coins,exactCount,levelUps,cause
smart,20260908,45,119052,True,12,13,9,0,coin_overflow
smart,20260909,41,105602,True,10,12,7,0,coin_overflow
smart,20260910,25,63103,True,9,12,0,2,coin_overflow
smart,20260911,29,70611,True,8,12,1,2,coin_overflow
smart,20260912,31,80111,True,8,13,3,0,coin_overflow
smart,20260913,40,99353,True,8,9,6,0,coin_overflow
smart,20260914,31,77211,True,10,12,3,1,coin_overflow
smart,20260915,34,93061,True,9,13,3,2,coin_overflow
smart,20260916,32,79221,True,10,11,2,3,coin_overflow
smart,20260917,42,107316,True,9,10,5,3,coin_overflow
smart,20260918,34,89054,True,10,11,4,1,coin_overflow
smart,20260919,30,77251,True,11,12,3,1,coin_overflow
smart,20260920,39,96087,True,8,9,5,1,coin_overflow
smart,20260921,50,126526,True,10,11,10,0,coin_overflow
smart,20260922,26,74556,True,8,12,0,2,coin_overflow
smart,20260923,26,75551,True,11,13,1,2,coin_overflow
smart,20260924,29,66267,True,7,9,2,0,coin_overflow
smart,20260925,26,68262,True,9,10,1,1,coin_overflow
smart,20260926,37,93521,True,10,12,5,1,coin_overflow
smart,20260927,41,105557,True,9,11,6,1,coin_overflow
smart,20260928,28,78151,True,12,13,2,2,coin_overflow
smart,20260929,47,127566,True,10,11,7,3,coin_overflow
smart,20260930,39,109609,True,7,9,4,2,coin_overflow
smart,20260931,61,156617,True,8,10,13,0,coin_overflow
smart,20260932,32,80352,True,5,10,1,2,coin_overflow
smart,20260933,40,104857,True,7,8,5,1,coin_overflow
smart,20260934,43,111521,True,8,12,7,0,coin_overflow
smart,20260935,36,95102,True,12,13,6,0,coin_overflow
smart,20260936,33,90123,True,9,10,4,0,coin_overflow
smart,20260937,24,62506,True,12,13,2,0,coin_overflow
smart,20260938,39,94552,True,9,12,6,0,coin_overflow
smart,20260939,40,111025,True,7,9,5,1,coin_overflow
smart,20260940,32,82154,True,9,10,1,4,coin_overflow
smart,20260941,47,115421,True,7,9,8,0,coin_overflow
smart,20260942,30,79086,True,7,10,1,2,coin_overflow
smart,20260943,35,93164,True,8,9,3,2,coin_overflow
smart,20260944,37,95251,True,7,12,4,1,coin_overflow
smart,20260945,42,109602,True,10,12,6,2,coin_overflow
